"cat01_code","(F002-22-009)被害項目","area_code","(F002-22-1)全国農業地域・都道府県","unit","value"
"001","合計_被害面積","N0001","全国","ha","4913000"
"001","合計_被害面積","N0002","北海道","ha","300000"
"001","合計_被害面積","N0003","都府県","ha","4614000"
"001","合計_被害面積","N0004","東北","ha","1322000"
"001","合計_被害面積","N0005","北陸","ha","699400"
"001","合計_被害面積","N0006","関東・東山","ha","807200"
"001","合計_被害面積","N0007","東海","ha","298100"
"001","合計_被害面積","N0008","近畿","ha","313100"
"001","合計_被害面積","N0009","中国","ha","327200"
"001","合計_被害面積","N0010","四国","ha","184100"
"001","合計_被害面積","N0011","九州","ha","663900"
"001","合計_被害面積","N0012","沖縄","ha","341"
"001","合計_被害面積","01000","北海道","ha","300000"
"001","合計_被害面積","02000","青森県","ha","115800"
"001","合計_被害面積","03000","岩手県","ha","150500"
"001","合計_被害面積","04000","宮城県","ha","189400"
"001","合計_被害面積","05000","秋田県","ha","389500"
"001","合計_被害面積","06000","山形県","ha","246900"
"001","合計_被害面積","07000","福島県","ha","229500"
"001","合計_被害面積","08000","茨城県","ha","165500"
"001","合計_被害面積","09000","栃木県","ha","236700"
"001","合計_被害面積","10000","群馬県","ha","44800"
"001","合計_被害面積","11000","埼玉県","ha","126900"
"001","合計_被害面積","12000","千葉県","ha","77300"
"001","合計_被害面積","13000","東京都","ha","299"
"001","合計_被害面積","14000","神奈川県","ha","7250"
"001","合計_被害面積","15000","新潟県","ha","484200"
"001","合計_被害面積","16000","富山県","ha","75100"
"001","合計_被害面積","17000","石川県","ha","41400"
"001","合計_被害面積","18000","福井県","ha","98700"
"001","合計_被害面積","19000","山梨県","ha","12400"
"001","合計_被害面積","20000","長野県","ha","136200"
"001","合計_被害面積","21000","岐阜県","ha","58000"
"001","合計_被害面積","22000","静岡県","ha","45100"
"001","合計_被害面積","23000","愛知県","ha","107400"
"001","合計_被害面積","24000","三重県","ha","87600"
"001","合計_被害面積","25000","滋賀県","ha","101600"
"001","合計_被害面積","26000","京都府","ha","40400"
"001","合計_被害面積","27000","大阪府","ha","22700"
"001","合計_被害面積","28000","兵庫県","ha","97300"
"001","合計_被害面積","29000","奈良県","ha","24100"
"001","合計_被害面積","30000","和歌山県","ha","27100"
"001","合計_被害面積","31000","鳥取県","ha","22200"
"001","合計_被害面積","32000","島根県","ha","65500"
"001","合計_被害面積","33000","岡山県","ha","104000"
"001","合計_被害面積","34000","広島県","ha","54900"
"001","合計_被害面積","35000","山口県","ha","80600"
"001","合計_被害面積","36000","徳島県","ha","53500"
"001","合計_被害面積","37000","香川県","ha","42400"
"001","合計_被害面積","38000","愛媛県","ha","41100"
"001","合計_被害面積","39000","高知県","ha","47000"
"001","合計_被害面積","40000","福岡県","ha","136900"
"001","合計_被害面積","41000","佐賀県","ha","93800"
"001","合計_被害面積","42000","長崎県","ha","46400"
"001","合計_被害面積","43000","熊本県","ha","93600"
"001","合計_被害面積","44000","大分県","ha","80300"
"001","合計_被害面積","45000","宮崎県","ha","68600"
"001","合計_被害面積","46000","鹿児島県","ha","144100"
"001","合計_被害面積","47000","沖縄県","ha","341"
"001","合計_被害面積","N0013","関東農政局","ha","852200"
