"cat01_code","(F002-24-006)集計項目","area_code","(F002-24-1)全国農業地域・都道府県","unit","value"
"001","合計_被害面積","N0001","全国","ha","3083000"
"001","合計_被害面積","N0002","北海道","ha","105400"
"001","合計_被害面積","N0003","都府県","ha","2977000"
"001","合計_被害面積","N0004","東北","ha","730800"
"001","合計_被害面積","N0005","北陸","ha","330500"
"001","合計_被害面積","N0006","関東・東山","ha","458400"
"001","合計_被害面積","N0007","東海","ha","237600"
"001","合計_被害面積","N0008","近畿","ha","226800"
"001","合計_被害面積","N0009","中国","ha","214000"
"001","合計_被害面積","N0010","四国","ha","178100"
"001","合計_被害面積","N0011","九州","ha","600200"
"001","合計_被害面積","N0012","沖縄","ha","915"
"001","合計_被害面積","01000","北海道","ha","105400"
"001","合計_被害面積","02000","青森県","ha","39400"
"001","合計_被害面積","03000","岩手県","ha","69100"
"001","合計_被害面積","04000","宮城県","ha","82800"
"001","合計_被害面積","05000","秋田県","ha","209600"
"001","合計_被害面積","06000","山形県","ha","174100"
"001","合計_被害面積","07000","福島県","ha","155800"
"001","合計_被害面積","08000","茨城県","ha","64700"
"001","合計_被害面積","09000","栃木県","ha","93200"
"001","合計_被害面積","10000","群馬県","ha","22000"
"001","合計_被害面積","11000","埼玉県","ha","124300"
"001","合計_被害面積","12000","千葉県","ha","56500"
"001","合計_被害面積","13000","東京都","ha","255"
"001","合計_被害面積","14000","神奈川県","ha","6690"
"001","合計_被害面積","15000","新潟県","ha","154800"
"001","合計_被害面積","16000","富山県","ha","64100"
"001","合計_被害面積","17000","石川県","ha","38900"
"001","合計_被害面積","18000","福井県","ha","72700"
"001","合計_被害面積","19000","山梨県","ha","7620"
"001","合計_被害面積","20000","長野県","ha","83400"
"001","合計_被害面積","21000","岐阜県","ha","33100"
"001","合計_被害面積","22000","静岡県","ha","39700"
"001","合計_被害面積","23000","愛知県","ha","104300"
"001","合計_被害面積","24000","三重県","ha","60300"
"001","合計_被害面積","25000","滋賀県","ha","84500"
"001","合計_被害面積","26000","京都府","ha","24500"
"001","合計_被害面積","27000","大阪府","ha","7250"
"001","合計_被害面積","28000","兵庫県","ha","81900"
"001","合計_被害面積","29000","奈良県","ha","10900"
"001","合計_被害面積","30000","和歌山県","ha","17800"
"001","合計_被害面積","31000","鳥取県","ha","20100"
"001","合計_被害面積","32000","島根県","ha","34200"
"001","合計_被害面積","33000","岡山県","ha","70500"
"001","合計_被害面積","34000","広島県","ha","31700"
"001","合計_被害面積","35000","山口県","ha","57700"
"001","合計_被害面積","36000","徳島県","ha","48300"
"001","合計_被害面積","37000","香川県","ha","47400"
"001","合計_被害面積","38000","愛媛県","ha","42000"
"001","合計_被害面積","39000","高知県","ha","40300"
"001","合計_被害面積","40000","福岡県","ha","116700"
"001","合計_被害面積","41000","佐賀県","ha","59200"
"001","合計_被害面積","42000","長崎県","ha","42300"
"001","合計_被害面積","43000","熊本県","ha","104600"
"001","合計_被害面積","44000","大分県","ha","70400"
"001","合計_被害面積","45000","宮崎県","ha","75300"
"001","合計_被害面積","46000","鹿児島県","ha","131900"
"001","合計_被害面積","47000","沖縄県","ha","915"
"001","合計_被害面積","N0013","関東農政局","ha","498100"
"001","合計_被害面積","N0014","東海農政局","ha","197800"
"001","合計_被害面積","N0015","中国四国農政局","ha","392000"
"002","合計_被害実面積","N0001","全国","ha","1317000"
"002","合計_被害実面積","N0002","北海道","ha","70100"
"002","合計_被害実面積","N0003","都府県","ha","1247000"
"002","合計_被害実面積","N0004","東北","ha","347700"
"002","合計_被害実面積","N0005","北陸","ha","161700"
"002","合計_被害実面積","N0006","関東・東山","ha","214100"
"002","合計_被害実面積","N0007","東海","ha","91200"
"002","合計_被害実面積","N0008","近畿","ha","96800"
"002","合計_被害実面積","N0009","中国","ha","98900"
"002","合計_被害実面積","N0010","四国","ha","54700"
"002","合計_被害実面積","N0011","九州","ha","181500"
"002","合計_被害実面積","N0012","沖縄","ha","563"
"002","合計_被害実面積","01000","北海道","ha","70100"
"002","合計_被害実面積","02000","青森県","ha","20000"
"002","合計_被害実面積","03000","岩手県","ha","42400"
"002","合計_被害実面積","04000","宮城県","ha","62400"
"002","合計_被害実面積","05000","秋田県","ha","89900"
"002","合計_被害実面積","06000","山形県","ha","66800"
"002","合計_被害実面積","07000","福島県","ha","66200"
"002","合計_被害実面積","08000","茨城県","ha","42200"
"002","合計_被害実面積","09000","栃木県","ha","48600"
"002","合計_被害実面積","10000","群馬県","ha","11800"
"002","合計_被害実面積","11000","埼玉県","ha","35300"
"002","合計_被害実面積","12000","千葉県","ha","36600"
"002","合計_被害実面積","13000","東京都","ha","161"
"002","合計_被害実面積","14000","神奈川県","ha","2250"
"002","合計_被害実面積","15000","新潟県","ha","69900"
"002","合計_被害実面積","16000","富山県","ha","39000"
"002","合計_被害実面積","17000","石川県","ha","26400"
"002","合計_被害実面積","18000","福井県","ha","26400"
"002","合計_被害実面積","19000","山梨県","ha","3030"
"002","合計_被害実面積","20000","長野県","ha","34200"
"002","合計_被害実面積","21000","岐阜県","ha","16800"
"002","合計_被害実面積","22000","静岡県","ha","16400"
"002","合計_被害実面積","23000","愛知県","ha","30100"
"002","合計_被害実面積","24000","三重県","ha","27900"
"002","合計_被害実面積","25000","滋賀県","ha","30700"
"002","合計_被害実面積","26000","京都府","ha","12300"
"002","合計_被害実面積","27000","大阪府","ha","5680"
"002","合計_被害実面積","28000","兵庫県","ha","33800"
"002","合計_被害実面積","29000","奈良県","ha","7360"
"002","合計_被害実面積","30000","和歌山県","ha","6920"
"002","合計_被害実面積","31000","鳥取県","ha","9340"
"002","合計_被害実面積","32000","島根県","ha","17000"
"002","合計_被害実面積","33000","岡山県","ha","32700"
"002","合計_被害実面積","34000","広島県","ha","17000"
"002","合計_被害実面積","35000","山口県","ha","22900"
"002","合計_被害実面積","36000","徳島県","ha","13200"
"002","合計_被害実面積","37000","香川県","ha","14200"
"002","合計_被害実面積","38000","愛媛県","ha","14900"
"002","合計_被害実面積","39000","高知県","ha","12400"
"002","合計_被害実面積","40000","福岡県","ha","38000"
"002","合計_被害実面積","41000","佐賀県","ha","25400"
"002","合計_被害実面積","42000","長崎県","ha","13500"
"002","合計_被害実面積","43000","熊本県","ha","38100"
"002","合計_被害実面積","44000","大分県","ha","23600"
"002","合計_被害実面積","45000","宮崎県","ha","19100"
"002","合計_被害実面積","46000","鹿児島県","ha","23800"
"002","合計_被害実面積","47000","沖縄県","ha","563"
"002","合計_被害実面積","N0013","関東農政局","ha","230500"
"002","合計_被害実面積","N0014","東海農政局","ha","74800"
"002","合計_被害実面積","N0015","中国四国農政局","ha","153600"
"003","合計_被害量","N0001","全国","ｔ","526000"
"003","合計_被害量","N0002","北海道","ｔ","15200"
"003","合計_被害量","N0003","都府県","ｔ","510500"
"003","合計_被害量","N0004","東北","ｔ","127000"
"003","合計_被害量","N0005","北陸","ｔ","25800"
"003","合計_被害量","N0006","関東・東山","ｔ","96200"
"003","合計_被害量","N0007","東海","ｔ","30100"
"003","合計_被害量","N0008","近畿","ｔ","32300"
"003","合計_被害量","N0009","中国","ｔ","34600"
"003","合計_被害量","N0010","四国","ｔ","29400"
"003","合計_被害量","N0011","九州","ｔ","134900"
"003","合計_被害量","N0012","沖縄","ｔ","549"
"003","合計_被害量","01000","北海道","ｔ","15200"
"003","合計_被害量","02000","青森県","ｔ","6180"
"003","合計_被害量","03000","岩手県","ｔ","11300"
"003","合計_被害量","04000","宮城県","ｔ","19300"
"003","合計_被害量","05000","秋田県","ｔ","42000"
"003","合計_被害量","06000","山形県","ｔ","29300"
"003","合計_被害量","07000","福島県","ｔ","18800"
"003","合計_被害量","08000","茨城県","ｔ","20900"
"003","合計_被害量","09000","栃木県","ｔ","24900"
"003","合計_被害量","10000","群馬県","ｔ","8140"
"003","合計_被害量","11000","埼玉県","ｔ","15800"
"003","合計_被害量","12000","千葉県","ｔ","8570"
"003","合計_被害量","13000","東京都","ｔ","20"
"003","合計_被害量","14000","神奈川県","ｔ","582"
"003","合計_被害量","15000","新潟県","ｔ","13000"
"003","合計_被害量","16000","富山県","ｔ","5350"
"003","合計_被害量","17000","石川県","ｔ","2470"
"003","合計_被害量","18000","福井県","ｔ","5030"
"003","合計_被害量","19000","山梨県","ｔ","2010"
"003","合計_被害量","20000","長野県","ｔ","15300"
"003","合計_被害量","21000","岐阜県","ｔ","7020"
"003","合計_被害量","22000","静岡県","ｔ","4730"
"003","合計_被害量","23000","愛知県","ｔ","8340"
"003","合計_被害量","24000","三重県","ｔ","9980"
"003","合計_被害量","25000","滋賀県","ｔ","9350"
"003","合計_被害量","26000","京都府","ｔ","2520"
"003","合計_被害量","27000","大阪府","ｔ","1610"
"003","合計_被害量","28000","兵庫県","ｔ","13300"
"003","合計_被害量","29000","奈良県","ｔ","2740"
"003","合計_被害量","30000","和歌山県","ｔ","2780"
"003","合計_被害量","31000","鳥取県","ｔ","3170"
"003","合計_被害量","32000","島根県","ｔ","4710"
"003","合計_被害量","33000","岡山県","ｔ","11800"
"003","合計_被害量","34000","広島県","ｔ","6010"
"003","合計_被害量","35000","山口県","ｔ","8820"
"003","合計_被害量","36000","徳島県","ｔ","7330"
"003","合計_被害量","37000","香川県","ｔ","6790"
"003","合計_被害量","38000","愛媛県","ｔ","8150"
"003","合計_被害量","39000","高知県","ｔ","7110"
"003","合計_被害量","40000","福岡県","ｔ","19500"
"003","合計_被害量","41000","佐賀県","ｔ","17100"
"003","合計_被害量","42000","長崎県","ｔ","9010"
"003","合計_被害量","43000","熊本県","ｔ","28700"
"003","合計_被害量","44000","大分県","ｔ","15800"
"003","合計_被害量","45000","宮崎県","ｔ","19500"
"003","合計_被害量","46000","鹿児島県","ｔ","25200"
"003","合計_被害量","47000","沖縄県","ｔ","549"
"003","合計_被害量","N0013","関東農政局","ｔ","100900"
"003","合計_被害量","N0014","東海農政局","ｔ","25300"
"003","合計_被害量","N0015","中国四国農政局","ｔ","63900"
"004","合計_被害面積率","N0001","全国","％","195.3"
"004","合計_被害面積率","N0002","北海道","％","94.1"
"004","合計_被害面積率","N0003","都府県","％","202.9"
"004","合計_被害面積率","N0004","東北","％","184.2"
"004","合計_被害面積率","N0005","北陸","％","157.8"
"004","合計_被害面積率","N0006","関東・東山","％","155.1"
"004","合計_被害面積率","N0007","東海","％","233.2"
"004","合計_被害面積率","N0008","近畿","％","207.9"
"004","合計_被害面積率","N0009","中国","％","186.6"
"004","合計_被害面積率","N0010","四国","％","319.2"
"004","合計_被害面積率","N0011","九州","％","327.4"
"004","合計_被害面積率","N0012","沖縄","％","99.6"
"004","合計_被害面積率","01000","北海道","％","94.1"
"004","合計_被害面積率","02000","青森県","％","82.4"
"004","合計_被害面積率","03000","岩手県","％","126.6"
"004","合計_被害面積率","04000","宮城県","％","117.9"
"004","合計_被害面積率","05000","秋田県","％","230.1"
"004","合計_被害面積率","06000","山形県","％","260.6"
"004","合計_被害面積率","07000","福島県","％","235.3"
"004","合計_被害面積率","08000","茨城県","％","85.4"
"004","合計_被害面積率","09000","栃木県","％","147.5"
"004","合計_被害面積率","10000","群馬県","％","123.6"
"004","合計_被害面積率","11000","埼玉県","％","352.1"
"004","合計_被害面積率","12000","千葉県","％","93.4"
"004","合計_被害面積率","13000","東京都","％","158.4"
"004","合計_被害面積率","14000","神奈川県","％","208.4"
"004","合計_被害面積率","15000","新潟県","％","131.7"
"004","合計_被害面積率","16000","富山県","％","164.4"
"004","合計_被害面積率","17000","石川県","％","147.3"
"004","合計_被害面積率","18000","福井県","％","275.4"
"004","合計_被害面積率","19000","山梨県","％","144.3"
"004","合計_被害面積率","20000","長野県","％","243.9"
"004","合計_被害面積率","21000","岐阜県","％","134.6"
"004","合計_被害面積率","22000","静岡県","％","232.2"
"004","合計_被害面積率","23000","愛知県","％","346.5"
"004","合計_被害面積率","24000","三重県","％","200.3"
"004","合計_被害面積率","25000","滋賀県","％","257.6"
"004","合計_被害面積率","26000","京都府","％","157.1"
"004","合計_被害面積率","27000","大阪府","％","127.6"
"004","合計_被害面積率","28000","兵庫県","％","213.8"
"004","合計_被害面積率","29000","奈良県","％","117.8"
"004","合計_被害面積率","30000","和歌山県","％","239.6"
"004","合計_被害面積率","31000","鳥取県","％","143.6"
"004","合計_被害面積率","32000","島根県","％","179.1"
"004","合計_被害面積率","33000","岡山県","％","215.6"
"004","合計_被害面積率","34000","広島県","％","121.9"
"004","合計_被害面積率","35000","山口県","％","252.0"
"004","合計_被害面積率","36000","徳島県","％","365.9"
"004","合計_被害面積率","37000","香川県","％","326.9"
"004","合計_被害面積率","38000","愛媛県","％","274.5"
"004","合計_被害面積率","39000","高知県","％","312.4"
"004","合計_被害面積率","40000","福岡県","％","303.1"
"004","合計_被害面積率","41000","佐賀県","％","222.6"
"004","合計_被害面積率","42000","長崎県","％","308.8"
"004","合計_被害面積率","43000","熊本県","％","274.5"
"004","合計_被害面積率","44000","大分県","％","298.3"
"004","合計_被害面積率","45000","宮崎県","％","394.2"
"004","合計_被害面積率","46000","鹿児島県","％","554.2"
"004","合計_被害面積率","47000","沖縄県","％","99.6"
"004","合計_被害面積率","N0013","関東農政局","％","159.3"
"004","合計_被害面積率","N0014","東海農政局","％","233.3"
"004","合計_被害面積率","N0015","中国四国農政局","％","229.8"
"005","合計_被害実面積率","N0001","全国","％","83.4"
"005","合計_被害実面積率","N0002","北海道","％","62.6"
"005","合計_被害実面積率","N0003","都府県","％","85.0"
"005","合計_被害実面積率","N0004","東北","％","87.6"
"005","合計_被害実面積率","N0005","北陸","％","77.2"
"005","合計_被害実面積率","N0006","関東・東山","％","72.5"
"005","合計_被害実面積率","N0007","東海","％","89.5"
"005","合計_被害実面積率","N0008","近畿","％","88.7"
"005","合計_被害実面積率","N0009","中国","％","86.2"
"005","合計_被害実面積率","N0010","四国","％","98.0"
"005","合計_被害実面積率","N0011","九州","％","99.0"
"005","合計_被害実面積率","N0012","沖縄","％","61.3"
"005","合計_被害実面積率","01000","北海道","％","62.6"
"005","合計_被害実面積率","02000","青森県","％","41.8"
"005","合計_被害実面積率","03000","岩手県","％","77.7"
"005","合計_被害実面積率","04000","宮城県","％","88.9"
"005","合計_被害実面積率","05000","秋田県","％","98.7"
"005","合計_被害実面積率","06000","山形県","％","100.0"
"005","合計_被害実面積率","07000","福島県","％","100.0"
"005","合計_被害実面積率","08000","茨城県","％","55.7"
"005","合計_被害実面積率","09000","栃木県","％","76.9"
"005","合計_被害実面積率","10000","群馬県","％","66.3"
"005","合計_被害実面積率","11000","埼玉県","％","100.0"
"005","合計_被害実面積率","12000","千葉県","％","60.5"
"005","合計_被害実面積率","13000","東京都","％","100.0"
"005","合計_被害実面積率","14000","神奈川県","％","70.1"
"005","合計_被害実面積率","15000","新潟県","％","59.5"
"005","合計_被害実面積率","16000","富山県","％","100.0"
"005","合計_被害実面積率","17000","石川県","％","100.0"
"005","合計_被害実面積率","18000","福井県","％","100.0"
"005","合計_被害実面積率","19000","山梨県","％","57.4"
"005","合計_被害実面積率","20000","長野県","％","100.0"
"005","合計_被害実面積率","21000","岐阜県","％","68.3"
"005","合計_被害実面積率","22000","静岡県","％","95.9"
"005","合計_被害実面積率","23000","愛知県","％","100.0"
"005","合計_被害実面積率","24000","三重県","％","92.7"
"005","合計_被害実面積率","25000","滋賀県","％","93.6"
"005","合計_被害実面積率","26000","京都府","％","78.8"
"005","合計_被害実面積率","27000","大阪府","％","100.0"
"005","合計_被害実面積率","28000","兵庫県","％","88.3"
"005","合計_被害実面積率","29000","奈良県","％","79.6"
"005","合計_被害実面積率","30000","和歌山県","％","93.1"
"005","合計_被害実面積率","31000","鳥取県","％","66.7"
"005","合計_被害実面積率","32000","島根県","％","89.0"
"005","合計_被害実面積率","33000","岡山県","％","100.0"
"005","合計_被害実面積率","34000","広島県","％","65.4"
