"cat01_code","平成29水稲被害面積被害量","cat02_code","平成29水稲被害率被害量","area_code","全国、都府県、全国農業地域","time_code","時間軸（年次）","unit","value"
"100","気象被害_冷害","100","被害面積","00000","全国","2017000000","2017年","ha","211700"
"100","気象被害_冷害","100","被害面積","00042","北海道","2017000000","2017年","ha","60900"
"100","気象被害_冷害","100","被害面積","N0010","都府県","2017000000","2017年","ha","150800"
"100","気象被害_冷害","100","被害面積","00043","東北","2017000000","2017年","ha","125600"
"100","気象被害_冷害","100","被害面積","00049","北陸","2017000000","2017年","ha","50"
"100","気象被害_冷害","100","被害面積","N0004","関東・東山","2017000000","2017年","ha","25200"
"100","気象被害_冷害","100","被害面積","00050","東海","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","00051","近畿","2017000000","2017年","ha","1"
"100","気象被害_冷害","100","被害面積","00053","中国","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","00054","四国","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","00056","九州","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","00057","沖縄","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","01000","北海道","2017000000","2017年","ha","60900"
"100","気象被害_冷害","100","被害面積","02000","青森県","2017000000","2017年","ha","13900"
"100","気象被害_冷害","100","被害面積","03000","岩手県","2017000000","2017年","ha","13500"
"100","気象被害_冷害","100","被害面積","04000","宮城県","2017000000","2017年","ha","18900"
"100","気象被害_冷害","100","被害面積","05000","秋田県","2017000000","2017年","ha","5350"
"100","気象被害_冷害","100","被害面積","06000","山形県","2017000000","2017年","ha","64500"
"100","気象被害_冷害","100","被害面積","07000","福島県","2017000000","2017年","ha","9450"
"100","気象被害_冷害","100","被害面積","08000","茨城県","2017000000","2017年","ha","5570"
"100","気象被害_冷害","100","被害面積","09000","栃木県","2017000000","2017年","ha","15000"
"100","気象被害_冷害","100","被害面積","10000","群馬県","2017000000","2017年","ha","15"
"100","気象被害_冷害","100","被害面積","11000","埼玉県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","12000","千葉県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","13000","東京都","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","14000","神奈川県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","15000","新潟県","2017000000","2017年","ha","50"
"100","気象被害_冷害","100","被害面積","16000","富山県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","17000","石川県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","18000","福井県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","19000","山梨県","2017000000","2017年","ha","400"
"100","気象被害_冷害","100","被害面積","20000","長野県","2017000000","2017年","ha","4200"
"100","気象被害_冷害","100","被害面積","21000","岐阜県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","22000","静岡県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","23000","愛知県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","24000","三重県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","25000","滋賀県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","26000","京都府","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","27000","大阪府","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","28000","兵庫県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","29000","奈良県","2017000000","2017年","ha","1"
"100","気象被害_冷害","100","被害面積","30000","和歌山県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","31000","鳥取県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","32000","島根県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","33000","岡山県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","34000","広島県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","35000","山口県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","36000","徳島県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","37000","香川県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","38000","愛媛県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","39000","高知県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","40000","福岡県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","41000","佐賀県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","42000","長崎県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","43000","熊本県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","44000","大分県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","45000","宮崎県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","46000","鹿児島県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","47000","沖縄県","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","N0001","関東農政局","2017000000","2017年","ha","25200"
"100","気象被害_冷害","100","被害面積","N0002","東海農政局","2017000000","2017年","ha","－"
"100","気象被害_冷害","100","被害面積","N0003","中国四国農政局","2017000000","2017年","ha","－"
"100","気象被害_冷害","110","被害量","00000","全国","2017000000","2017年","ｔ","44800"
"100","気象被害_冷害","110","被害量","00042","北海道","2017000000","2017年","ｔ","12200"
"100","気象被害_冷害","110","被害量","N0010","都府県","2017000000","2017年","ｔ","32600"
"100","気象被害_冷害","110","被害量","00043","東北","2017000000","2017年","ｔ","24900"
"100","気象被害_冷害","110","被害量","00049","北陸","2017000000","2017年","ｔ","50"
"100","気象被害_冷害","110","被害量","N0004","関東・東山","2017000000","2017年","ｔ","7600"
"100","気象被害_冷害","110","被害量","00050","東海","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","00051","近畿","2017000000","2017年","ｔ","0"
"100","気象被害_冷害","110","被害量","00053","中国","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","00054","四国","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","00056","九州","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","00057","沖縄","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","01000","北海道","2017000000","2017年","ｔ","12200"
"100","気象被害_冷害","110","被害量","02000","青森県","2017000000","2017年","ｔ","2850"
"100","気象被害_冷害","110","被害量","03000","岩手県","2017000000","2017年","ｔ","3680"
"100","気象被害_冷害","110","被害量","04000","宮城県","2017000000","2017年","ｔ","4280"
"100","気象被害_冷害","110","被害量","05000","秋田県","2017000000","2017年","ｔ","1110"
"100","気象被害_冷害","110","被害量","06000","山形県","2017000000","2017年","ｔ","10800"
"100","気象被害_冷害","110","被害量","07000","福島県","2017000000","2017年","ｔ","2200"
"100","気象被害_冷害","110","被害量","08000","茨城県","2017000000","2017年","ｔ","1250"
"100","気象被害_冷害","110","被害量","09000","栃木県","2017000000","2017年","ｔ","5000"
"100","気象被害_冷害","110","被害量","10000","群馬県","2017000000","2017年","ｔ","3"
"100","気象被害_冷害","110","被害量","11000","埼玉県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","12000","千葉県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","13000","東京都","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","14000","神奈川県","2017000000","2017年","ｔ","－"
