"cat01_code","(F002-30-1-011)被害項目","cat02_code","(F002-30-1-012)被害量","cat03_code","(F002-30-2-006)全国農業地域別・都道府県","unit","value"
"001","被害面積","001","気象被害_冷害","001","全国","ha","110900"
"001","被害面積","001","気象被害_冷害","002","(全国農業地域)_北海道","ha","100000"
"001","被害面積","001","気象被害_冷害","003","(全国農業地域)_都府県","ha","10900"
"001","被害面積","001","気象被害_冷害","004","(全国農業地域)_東北","ha","6720"
"001","被害面積","001","気象被害_冷害","005","(全国農業地域)_北陸","ha","－"
"001","被害面積","001","気象被害_冷害","006","(全国農業地域)_関東・東山","ha","4210"
"001","被害面積","001","気象被害_冷害","007","(全国農業地域)_東海","ha","－"
"001","被害面積","001","気象被害_冷害","008","(全国農業地域)_近畿","ha","－"
"001","被害面積","001","気象被害_冷害","009","(全国農業地域)_中国","ha","－"
"001","被害面積","001","気象被害_冷害","010","(全国農業地域)_四国","ha","－"
"001","被害面積","001","気象被害_冷害","011","(全国農業地域)_九州","ha","－"
"001","被害面積","001","気象被害_冷害","012","(全国農業地域)_沖縄","ha","－"
"001","被害面積","001","気象被害_冷害","013","(都道府県)_北海道","ha","100000"
"001","被害面積","001","気象被害_冷害","014","(都道府県)_青森","ha","3070"
"001","被害面積","001","気象被害_冷害","015","(都道府県)_岩手","ha","3650"
"001","被害面積","001","気象被害_冷害","016","(都道府県)_宮城","ha","－"
"001","被害面積","001","気象被害_冷害","017","(都道府県)_秋田","ha","－"
"001","被害面積","001","気象被害_冷害","018","(都道府県)_山形","ha","－"
"001","被害面積","001","気象被害_冷害","019","(都道府県)_福島","ha","－"
"001","被害面積","001","気象被害_冷害","020","(都道府県)_茨城","ha","－"
"001","被害面積","001","気象被害_冷害","021","(都道府県)_栃木","ha","－"
"001","被害面積","001","気象被害_冷害","022","(都道府県)_群馬","ha","69"
"001","被害面積","001","気象被害_冷害","023","(都道府県)_埼玉","ha","－"
"001","被害面積","001","気象被害_冷害","024","(都道府県)_千葉","ha","－"
"001","被害面積","001","気象被害_冷害","025","(都道府県)_東京","ha","－"
"001","被害面積","001","気象被害_冷害","026","(都道府県)_神奈川","ha","－"
"001","被害面積","001","気象被害_冷害","027","(都道府県)_新潟","ha","－"
"001","被害面積","001","気象被害_冷害","028","(都道府県)_富山","ha","－"
"001","被害面積","001","気象被害_冷害","029","(都道府県)_石川","ha","－"
"001","被害面積","001","気象被害_冷害","030","(都道府県)_福井","ha","－"
"001","被害面積","001","気象被害_冷害","031","(都道府県)_山梨","ha","250"
"001","被害面積","001","気象被害_冷害","032","(都道府県)_長野","ha","3890"
"001","被害面積","001","気象被害_冷害","033","(都道府県)_岐阜","ha","－"
"001","被害面積","001","気象被害_冷害","034","(都道府県)_静岡","ha","－"
"001","被害面積","001","気象被害_冷害","035","(都道府県)_愛知","ha","－"
"001","被害面積","001","気象被害_冷害","036","(都道府県)_三重","ha","－"
"001","被害面積","001","気象被害_冷害","037","(都道府県)_滋賀","ha","－"
