"tab_code","表章項目","cat01_code","被害原因","area_code","全国農業地域・都道府県・地方農政局","time_code","時間軸（年次）","unit","value"
"0290","被害面積","100","気象被害_冷害","00000","全国","2019000000","2019年","ha","80600"
"0290","被害面積","100","気象被害_冷害","50100","(全国農業地域)北海道","2019000000","2019年","ha","61200"
"0290","被害面積","100","気象被害_冷害","50110","(全国農業地域)都府県","2019000000","2019年","ha","19400"
"0290","被害面積","100","気象被害_冷害","50120","(全国農業地域)東北","2019000000","2019年","ha","6440"
"0290","被害面積","100","気象被害_冷害","50130","(全国農業地域)北陸","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","50140","(全国農業地域)関東・東山","2019000000","2019年","ha","11500"
"0290","被害面積","100","気象被害_冷害","50150","(全国農業地域)東海","2019000000","2019年","ha","1480"
"0290","被害面積","100","気象被害_冷害","50160","(全国農業地域)近畿","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","50170","(全国農業地域)中国","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","50180","(全国農業地域)四国","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","50190","(全国農業地域)九州","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","50200","(全国農業地域)沖縄","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","01000","(都道府県)北海道","2019000000","2019年","ha","61200"
"0290","被害面積","100","気象被害_冷害","02000","(都道府県)青森県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","03000","(都道府県)岩手県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","04000","(都道府県)宮城県","2019000000","2019年","ha","1240"
"0290","被害面積","100","気象被害_冷害","05000","(都道府県)秋田県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","06000","(都道府県)山形県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","07000","(都道府県)福島県","2019000000","2019年","ha","5200"
"0290","被害面積","100","気象被害_冷害","08000","(都道府県)茨城県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","09000","(都道府県)栃木県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","10000","(都道府県)群馬県","2019000000","2019年","ha","183"
"0290","被害面積","100","気象被害_冷害","11000","(都道府県)埼玉県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","12000","(都道府県)千葉県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","13000","(都道府県)東京都","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","14000","(都道府県)神奈川県","2019000000","2019年","ha","3040"
"0290","被害面積","100","気象被害_冷害","15000","(都道府県)新潟県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","16000","(都道府県)富山県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","17000","(都道府県)石川県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","18000","(都道府県)福井県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","19000","(都道府県)山梨県","2019000000","2019年","ha","450"
"0290","被害面積","100","気象被害_冷害","20000","(都道府県)長野県","2019000000","2019年","ha","7800"
"0290","被害面積","100","気象被害_冷害","21000","(都道府県)岐阜県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","22000","(都道府県)静岡県","2019000000","2019年","ha","1480"
"0290","被害面積","100","気象被害_冷害","23000","(都道府県)愛知県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","24000","(都道府県)三重県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","25000","(都道府県)滋賀県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","26000","(都道府県)京都府","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","27000","(都道府県)大阪府","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","28000","(都道府県)兵庫県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","29000","(都道府県)奈良県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","30000","(都道府県)和歌山県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","31000","(都道府県)鳥取県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","32000","(都道府県)島根県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","33000","(都道府県)岡山県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","34000","(都道府県)広島県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","35000","(都道府県)山口県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","36000","(都道府県)徳島県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","37000","(都道府県)香川県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","38000","(都道府県)愛媛県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","39000","(都道府県)高知県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","40000","(都道府県)福岡県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","41000","(都道府県)佐賀県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","42000","(都道府県)長崎県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","43000","(都道府県)熊本県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","44000","(都道府県)大分県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","45000","(都道府県)宮崎県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","46000","(都道府県)鹿児島県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","47000","(都道府県)沖縄県","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","51100","関東農政局","2019000000","2019年","ha","13000"
"0290","被害面積","100","気象被害_冷害","51110","東海農政局","2019000000","2019年","ha","－"
"0290","被害面積","100","気象被害_冷害","51120","中国四国農政局","2019000000","2019年","ha","－"
"0290","被害面積","110","気象被害_日照不足","00000","全国","2019000000","2019年","ha","1185000"
"0290","被害面積","110","気象被害_日照不足","50100","(全国農業地域)北海道","2019000000","2019年","ha","65400"
"0290","被害面積","110","気象被害_日照不足","50110","(全国農業地域)都府県","2019000000","2019年","ha","1119000"
"0290","被害面積","110","気象被害_日照不足","50120","(全国農業地域)東北","2019000000","2019年","ha","333400"
"0290","被害面積","110","気象被害_日照不足","50130","(全国農業地域)北陸","2019000000","2019年","ha","150600"
"0290","被害面積","110","気象被害_日照不足","50140","(全国農業地域)関東・東山","2019000000","2019年","ha","211200"
"0290","被害面積","110","気象被害_日照不足","50150","(全国農業地域)東海","2019000000","2019年","ha","66000"
"0290","被害面積","110","気象被害_日照不足","50160","(全国農業地域)近畿","2019000000","2019年","ha","55100"
