"cat01_code","(F002-02-2-006)全国農業地域・都道府県_ふるい目幅","cat02_code","(F002-02-1-010)被害面積及び被害量","unit","value"
"001","全国","001","気象被害_冷害_被害面積","ha","47000"
"001","全国","002","気象被害_冷害_被害量","ｔ","8720"
"001","全国","003","気象被害_冷害_被害率_実数","％","0.1"
"001","全国","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.1"
"001","全国","005","気象被害_日照不足_被害面積","ha","1235000"
"001","全国","006","気象被害_日照不足_被害量","ｔ","238100"
"001","全国","007","気象被害_日照不足_被害率_実数","％","3.0"
"001","全国","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"001","全国","009","気象被害_高温障害_被害面積","ha","568400"
"001","全国","010","気象被害_高温障害_被害量","ｔ","63200"
"001","全国","011","気象被害_高温障害_被害率_実数","％","0.8"
"001","全国","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.4"
"001","全国","013","病害_いもち病_被害面積","ha","294200"
"001","全国","014","病害_いもち病_被害量","ｔ","78200"
"001","全国","015","病害_いもち病_被害率_実数","％","1.0"
"001","全国","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.3"
"001","全国","017","虫害_ウンカ_被害面積","ha","128400"
"001","全国","018","虫害_ウンカ_被害量","ｔ","70600"
"001","全国","019","虫害_ウンカ_被害率_実数","％","0.9"
"001","全国","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.4"
"001","全国","021","虫害_カメムシ_被害面積","ha","140700"
"001","全国","022","虫害_カメムシ_被害量","ｔ","17000"
"001","全国","023","虫害_カメムシ_被害率_実数","％","0.2"
"001","全国","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"002","(全国農業地域)_北海道","001","気象被害_冷害_被害面積","ha","35900"
"002","(全国農業地域)_北海道","002","気象被害_冷害_被害量","ｔ","3800"
"002","(全国農業地域)_北海道","003","気象被害_冷害_被害率_実数","％","0.7"
"002","(全国農業地域)_北海道","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.8"
"002","(全国農業地域)_北海道","005","気象被害_日照不足_被害面積","ha","82200"
"002","(全国農業地域)_北海道","006","気象被害_日照不足_被害量","ｔ","14400"
"002","(全国農業地域)_北海道","007","気象被害_日照不足_被害率_実数","％","2.6"
"002","(全国農業地域)_北海道","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","0.2"
"002","(全国農業地域)_北海道","009","気象被害_高温障害_被害面積","ha","5520"
"002","(全国農業地域)_北海道","010","気象被害_高温障害_被害量","ｔ","303"
"002","(全国農業地域)_北海道","011","気象被害_高温障害_被害率_実数","％","0.1"
"002","(全国農業地域)_北海道","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"002","(全国農業地域)_北海道","013","病害_いもち病_被害面積","ha","1220"
"002","(全国農業地域)_北海道","014","病害_いもち病_被害量","ｔ","74"
"002","(全国農業地域)_北海道","015","病害_いもち病_被害率_実数","％","0.0"
"002","(全国農業地域)_北海道","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"002","(全国農業地域)_北海道","017","虫害_ウンカ_被害面積","ha","804"
"002","(全国農業地域)_北海道","018","虫害_ウンカ_被害量","ｔ","52"
"002","(全国農業地域)_北海道","019","虫害_ウンカ_被害率_実数","％","0.0"
"002","(全国農業地域)_北海道","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"002","(全国農業地域)_北海道","021","虫害_カメムシ_被害面積","ha","3450"
"002","(全国農業地域)_北海道","022","虫害_カメムシ_被害量","ｔ","257"
"002","(全国農業地域)_北海道","023","虫害_カメムシ_被害率_実数","％","0.0"
"002","(全国農業地域)_北海道","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.1"
"003","(全国農業地域)_都府県","001","気象被害_冷害_被害面積","ha","11100"
"003","(全国農業地域)_都府県","002","気象被害_冷害_被害量","ｔ","4920"
"003","(全国農業地域)_都府県","003","気象被害_冷害_被害率_実数","％","0.1"
"003","(全国農業地域)_都府県","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"003","(全国農業地域)_都府県","005","気象被害_日照不足_被害面積","ha","1153000"
"003","(全国農業地域)_都府県","006","気象被害_日照不足_被害量","ｔ","223700"
"003","(全国農業地域)_都府県","007","気象被害_日照不足_被害率_実数","％","3.1"
"003","(全国農業地域)_都府県","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"003","(全国農業地域)_都府県","009","気象被害_高温障害_被害面積","ha","562800"
"003","(全国農業地域)_都府県","010","気象被害_高温障害_被害量","ｔ","62900"
"003","(全国農業地域)_都府県","011","気象被害_高温障害_被害率_実数","％","0.9"
"003","(全国農業地域)_都府県","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.4"
"003","(全国農業地域)_都府県","013","病害_いもち病_被害面積","ha","293000"
"003","(全国農業地域)_都府県","014","病害_いもち病_被害量","ｔ","78100"
"003","(全国農業地域)_都府県","015","病害_いもち病_被害率_実数","％","1.1"
"003","(全国農業地域)_都府県","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.3"
"003","(全国農業地域)_都府県","017","虫害_ウンカ_被害面積","ha","127600"
"003","(全国農業地域)_都府県","018","虫害_ウンカ_被害量","ｔ","70600"
"003","(全国農業地域)_都府県","019","虫害_ウンカ_被害率_実数","％","1.0"
"003","(全国農業地域)_都府県","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.4"
"003","(全国農業地域)_都府県","021","虫害_カメムシ_被害面積","ha","137300"
"003","(全国農業地域)_都府県","022","虫害_カメムシ_被害量","ｔ","16800"
"003","(全国農業地域)_都府県","023","虫害_カメムシ_被害率_実数","％","0.2"
"003","(全国農業地域)_都府県","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"004","(全国農業地域)_東北","001","気象被害_冷害_被害面積","ha","2950"
"004","(全国農業地域)_東北","002","気象被害_冷害_被害量","ｔ","1710"
"004","(全国農業地域)_東北","003","気象被害_冷害_被害率_実数","％","0.1"
"004","(全国農業地域)_東北","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.1"
"004","(全国農業地域)_東北","005","気象被害_日照不足_被害面積","ha","381500"
"004","(全国農業地域)_東北","006","気象被害_日照不足_被害量","ｔ","48200"
"004","(全国農業地域)_東北","007","気象被害_日照不足_被害率_実数","％","2.2"
"004","(全国農業地域)_東北","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","0.2"
"004","(全国農業地域)_東北","009","気象被害_高温障害_被害面積","ha","112100"
"004","(全国農業地域)_東北","010","気象被害_高温障害_被害量","ｔ","4970"
"004","(全国農業地域)_東北","011","気象被害_高温障害_被害率_実数","％","0.2"
"004","(全国農業地域)_東北","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.7"
"004","(全国農業地域)_東北","013","病害_いもち病_被害面積","ha","92900"
"004","(全国農業地域)_東北","014","病害_いもち病_被害量","ｔ","27600"
"004","(全国農業地域)_東北","015","病害_いもち病_被害率_実数","％","1.3"
"004","(全国農業地域)_東北","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.9"
"004","(全国農業地域)_東北","017","虫害_ウンカ_被害面積","ha","1820"
"004","(全国農業地域)_東北","018","虫害_ウンカ_被害量","ｔ","86"
"004","(全国農業地域)_東北","019","虫害_ウンカ_被害率_実数","％","0.0"
"004","(全国農業地域)_東北","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"004","(全国農業地域)_東北","021","虫害_カメムシ_被害面積","ha","34900"
"004","(全国農業地域)_東北","022","虫害_カメムシ_被害量","ｔ","3820"
"004","(全国農業地域)_東北","023","虫害_カメムシ_被害率_実数","％","0.2"
"004","(全国農業地域)_東北","024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.1"
"005","(全国農業地域)_北陸","001","気象被害_冷害_被害面積","ha","－"
"005","(全国農業地域)_北陸","002","気象被害_冷害_被害量","ｔ","－"
"005","(全国農業地域)_北陸","003","気象被害_冷害_被害率_実数","％","－"
"005","(全国農業地域)_北陸","004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","－"
"005","(全国農業地域)_北陸","005","気象被害_日照不足_被害面積","ha","158300"
"005","(全国農業地域)_北陸","006","気象被害_日照不足_被害量","ｔ","12200"
"005","(全国農業地域)_北陸","007","気象被害_日照不足_被害率_実数","％","1.1"
"005","(全国農業地域)_北陸","008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","0.1"
"005","(全国農業地域)_北陸","009","気象被害_高温障害_被害面積","ha","129800"
"005","(全国農業地域)_北陸","010","気象被害_高温障害_被害量","ｔ","6460"
"005","(全国農業地域)_北陸","011","気象被害_高温障害_被害率_実数","％","0.6"
"005","(全国農業地域)_北陸","012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","-1.3"
"005","(全国農業地域)_北陸","013","病害_いもち病_被害面積","ha","17500"
"005","(全国農業地域)_北陸","014","病害_いもち病_被害量","ｔ","2430"
"005","(全国農業地域)_北陸","015","病害_いもち病_被害率_実数","％","0.2"
"005","(全国農業地域)_北陸","016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.1"
"005","(全国農業地域)_北陸","017","虫害_ウンカ_被害面積","ha","4950"
"005","(全国農業地域)_北陸","018","虫害_ウンカ_被害量","ｔ","414"
"005","(全国農業地域)_北陸","019","虫害_ウンカ_被害率_実数","％","0.0"
"005","(全国農業地域)_北陸","020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"005","(全国農業地域)_北陸","021","虫害_カメムシ_被害面積","ha","14400"
"005","(全国農業地域)_北陸","022","虫害_カメムシ_被害量","ｔ","910"
