"cat01_code","(F002-05-2-006)全国農業地域・都道府県","cat02_code","(F002-05-1-010)被害面積及び被害量","unit","value"
"1001","全国","1001","気象被害_冷害_被害面積","ha","3970"
"1001","全国","1002","気象被害_冷害_被害量","t","1250"
"1001","全国","1003","気象被害_冷害_被害率_実数","%","0.0"
"1001","全国","1004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.1"
"1001","全国","1005","気象被害_日照不足_被害面積","ha","845200"
"1001","全国","1006","気象被害_日照不足_被害量","t","192700"
"1001","全国","1007","気象被害_日照不足_被害率_実数","%","2.7"
"1001","全国","1008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.4"
"1001","全国","1009","気象被害_高温障害_被害面積","ha","994000"
"1001","全国","1010","気象被害_高温障害_被害量","t","192300"
"1001","全国","1011","気象被害_高温障害_被害率_実数","%","2.7"
"1001","全国","1012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","2.1"
"1001","全国","1013","病害_いもち病_被害面積","ha","204900"
"1001","全国","1014","病害_いもち病_被害量","t","45700"
"1001","全国","1015","病害_いもち病_被害率_実数","%","0.6"
"1001","全国","1016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.3"
"1001","全国","1017","虫害_ウンカ_被害面積","ha","31100"
"1001","全国","1018","虫害_ウンカ_被害量","t","4210"
"1001","全国","1019","虫害_ウンカ_被害率_実数","%","0.1"
"1001","全国","1020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1001","全国","1021","虫害_カメムシ_被害面積","ha","176700"
"1001","全国","1022","虫害_カメムシ_被害量","t","25000"
"1001","全国","1023","虫害_カメムシ_被害率_実数","%","0.3"
"1001","全国","1024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.1"
"1002","(全国農業地域)_北海道","1001","気象被害_冷害_被害面積","ha","－"
"1002","(全国農業地域)_北海道","1002","気象被害_冷害_被害量","t","－"
"1002","(全国農業地域)_北海道","1003","気象被害_冷害_被害率_実数","%","－"
"1002","(全国農業地域)_北海道","1004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","-1.2"
"1002","(全国農業地域)_北海道","1005","気象被害_日照不足_被害面積","ha","40200"
"1002","(全国農業地域)_北海道","1006","気象被害_日照不足_被害量","t","10200"
"1002","(全国農業地域)_北海道","1007","気象被害_日照不足_被害率_実数","%","1.9"
"1002","(全国農業地域)_北海道","1008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","0.5"
"1002","(全国農業地域)_北海道","1009","気象被害_高温障害_被害面積","ha","73900"
"1002","(全国農業地域)_北海道","1010","気象被害_高温障害_被害量","t","15400"
"1002","(全国農業地域)_北海道","1011","気象被害_高温障害_被害率_実数","%","2.9"
"1002","(全国農業地域)_北海道","1012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","2.9"
"1002","(全国農業地域)_北海道","1013","病害_いもち病_被害面積","ha","2750"
"1002","(全国農業地域)_北海道","1014","病害_いもち病_被害量","t","76"
"1002","(全国農業地域)_北海道","1015","病害_いもち病_被害率_実数","%","0.0"
"1002","(全国農業地域)_北海道","1016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1002","(全国農業地域)_北海道","1017","虫害_ウンカ_被害面積","ha","292"
"1002","(全国農業地域)_北海道","1018","虫害_ウンカ_被害量","t","15"
"1002","(全国農業地域)_北海道","1019","虫害_ウンカ_被害率_実数","%","0.0"
"1002","(全国農業地域)_北海道","1020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1002","(全国農業地域)_北海道","1021","虫害_カメムシ_被害面積","ha","5260"
"1002","(全国農業地域)_北海道","1022","虫害_カメムシ_被害量","t","163"
"1002","(全国農業地域)_北海道","1023","虫害_カメムシ_被害率_実数","%","0.0"
"1002","(全国農業地域)_北海道","1024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1003","(全国農業地域)_都府県","1001","気象被害_冷害_被害面積","ha","3970"
"1003","(全国農業地域)_都府県","1002","気象被害_冷害_被害量","t","1250"
"1003","(全国農業地域)_都府県","1003","気象被害_冷害_被害率_実数","%","0.0"
"1003","(全国農業地域)_都府県","1004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1003","(全国農業地域)_都府県","1005","気象被害_日照不足_被害面積","ha","805000"
"1003","(全国農業地域)_都府県","1006","気象被害_日照不足_被害量","t","182500"
"1003","(全国農業地域)_都府県","1007","気象被害_日照不足_被害率_実数","%","2.7"
"1003","(全国農業地域)_都府県","1008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.6"
"1003","(全国農業地域)_都府県","1009","気象被害_高温障害_被害面積","ha","920100"
"1003","(全国農業地域)_都府県","1010","気象被害_高温障害_被害量","t","176900"
"1003","(全国農業地域)_都府県","1011","気象被害_高温障害_被害率_実数","%","2.6"
"1003","(全国農業地域)_都府県","1012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","2.0"
"1003","(全国農業地域)_都府県","1013","病害_いもち病_被害面積","ha","202200"
"1003","(全国農業地域)_都府県","1014","病害_いもち病_被害量","t","45600"
"1003","(全国農業地域)_都府県","1015","病害_いもち病_被害率_実数","%","0.7"
"1003","(全国農業地域)_都府県","1016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.2"
"1003","(全国農業地域)_都府県","1017","虫害_ウンカ_被害面積","ha","30800"
"1003","(全国農業地域)_都府県","1018","虫害_ウンカ_被害量","t","4200"
"1003","(全国農業地域)_都府県","1019","虫害_ウンカ_被害率_実数","%","0.1"
"1003","(全国農業地域)_都府県","1020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1003","(全国農業地域)_都府県","1021","虫害_カメムシ_被害面積","ha","171500"
"1003","(全国農業地域)_都府県","1022","虫害_カメムシ_被害量","t","24800"
"1003","(全国農業地域)_都府県","1023","虫害_カメムシ_被害率_実数","%","0.4"
"1003","(全国農業地域)_都府県","1024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.2"
"1004","(全国農業地域)_東北","1001","気象被害_冷害_被害面積","ha","－"
"1004","(全国農業地域)_東北","1002","気象被害_冷害_被害量","t","－"
"1004","(全国農業地域)_東北","1003","気象被害_冷害_被害率_実数","%","－"
"1004","(全国農業地域)_東北","1004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","－"
"1004","(全国農業地域)_東北","1005","気象被害_日照不足_被害面積","ha","349000"
"1004","(全国農業地域)_東北","1006","気象被害_日照不足_被害量","t","85900"
"1004","(全国農業地域)_東北","1007","気象被害_日照不足_被害率_実数","%","4.3"
"1004","(全国農業地域)_東北","1008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","-1.2"
"1004","(全国農業地域)_東北","1009","気象被害_高温障害_被害面積","ha","349000"
"1004","(全国農業地域)_東北","1010","気象被害_高温障害_被害量","t","33600"
"1004","(全国農業地域)_東北","1011","気象被害_高温障害_被害率_実数","%","1.7"
"1004","(全国農業地域)_東北","1012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","1.6"
"1004","(全国農業地域)_東北","1013","病害_いもち病_被害面積","ha","44500"
"1004","(全国農業地域)_東北","1014","病害_いもち病_被害量","t","11000"
"1004","(全国農業地域)_東北","1015","病害_いもち病_被害率_実数","%","0.6"
"1004","(全国農業地域)_東北","1016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.2"
"1004","(全国農業地域)_東北","1017","虫害_ウンカ_被害面積","ha","3590"
"1004","(全国農業地域)_東北","1018","虫害_ウンカ_被害量","t","205"
"1004","(全国農業地域)_東北","1019","虫害_ウンカ_被害率_実数","%","0.0"
"1004","(全国農業地域)_東北","1020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1004","(全国農業地域)_東北","1021","虫害_カメムシ_被害面積","ha","24700"
"1004","(全国農業地域)_東北","1022","虫害_カメムシ_被害量","t","2360"
"1004","(全国農業地域)_東北","1023","虫害_カメムシ_被害率_実数","%","0.1"
"1004","(全国農業地域)_東北","1024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1005","(全国農業地域)_北陸","1001","気象被害_冷害_被害面積","ha","－"
"1005","(全国農業地域)_北陸","1002","気象被害_冷害_被害量","t","－"
"1005","(全国農業地域)_北陸","1003","気象被害_冷害_被害率_実数","%","－"
"1005","(全国農業地域)_北陸","1004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","－"
"1005","(全国農業地域)_北陸","1005","気象被害_日照不足_被害面積","ha","23300"
"1005","(全国農業地域)_北陸","1006","気象被害_日照不足_被害量","t","2340"
"1005","(全国農業地域)_北陸","1007","気象被害_日照不足_被害率_実数","%","0.2"
"1005","(全国農業地域)_北陸","1008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","-1.0"
"1005","(全国農業地域)_北陸","1009","気象被害_高温障害_被害面積","ha","197700"
"1005","(全国農業地域)_北陸","1010","気象被害_高温障害_被害量","t","74300"
"1005","(全国農業地域)_北陸","1011","気象被害_高温障害_被害率_実数","%","7.0"
"1005","(全国農業地域)_北陸","1012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","6.2"
"1005","(全国農業地域)_北陸","1013","病害_いもち病_被害面積","ha","14300"
"1005","(全国農業地域)_北陸","1014","病害_いもち病_被害量","t","1720"
"1005","(全国農業地域)_北陸","1015","病害_いもち病_被害率_実数","%","0.2"
"1005","(全国農業地域)_北陸","1016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1005","(全国農業地域)_北陸","1017","虫害_ウンカ_被害面積","ha","3860"
"1005","(全国農業地域)_北陸","1018","虫害_ウンカ_被害量","t","247"
"1005","(全国農業地域)_北陸","1019","虫害_ウンカ_被害率_実数","%","0.0"
"1005","(全国農業地域)_北陸","1020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1005","(全国農業地域)_北陸","1021","虫害_カメムシ_被害面積","ha","9880"
"1005","(全国農業地域)_北陸","1022","虫害_カメムシ_被害量","t","892"
"1005","(全国農業地域)_北陸","1023","虫害_カメムシ_被害率_実数","%","0.1"
"1005","(全国農業地域)_北陸","1024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1006","(全国農業地域)_関東・東山","1001","気象被害_冷害_被害面積","ha","3970"
"1006","(全国農業地域)_関東・東山","1002","気象被害_冷害_被害量","t","1250"
"1006","(全国農業地域)_関東・東山","1003","気象被害_冷害_被害率_実数","%","0.1"
"1006","(全国農業地域)_関東・東山","1004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1006","(全国農業地域)_関東・東山","1005","気象被害_日照不足_被害面積","ha","81900"
"1006","(全国農業地域)_関東・東山","1006","気象被害_日照不足_被害量","t","18600"
"1006","(全国農業地域)_関東・東山","1007","気象被害_日照不足_被害率_実数","%","1.4"
"1006","(全国農業地域)_関東・東山","1008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","-1.6"
"1006","(全国農業地域)_関東・東山","1009","気象被害_高温障害_被害面積","ha","119500"
"1006","(全国農業地域)_関東・東山","1010","気象被害_高温障害_被害量","t","31300"
"1006","(全国農業地域)_関東・東山","1011","気象被害_高温障害_被害率_実数","%","2.4"
"1006","(全国農業地域)_関東・東山","1012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","1.3"
"1006","(全国農業地域)_関東・東山","1013","病害_いもち病_被害面積","ha","30400"
"1006","(全国農業地域)_関東・東山","1014","病害_いもち病_被害量","t","8670"
"1006","(全国農業地域)_関東・東山","1015","病害_いもち病_被害率_実数","%","0.7"
"1006","(全国農業地域)_関東・東山","1016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.4"
"1006","(全国農業地域)_関東・東山","1017","虫害_ウンカ_被害面積","ha","7630"
"1006","(全国農業地域)_関東・東山","1018","虫害_ウンカ_被害量","t","634"
"1006","(全国農業地域)_関東・東山","1019","虫害_ウンカ_被害率_実数","%","0.0"
"1006","(全国農業地域)_関東・東山","1020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.1"
"1006","(全国農業地域)_関東・東山","1021","虫害_カメムシ_被害面積","ha","45600"
"1006","(全国農業地域)_関東・東山","1022","虫害_カメムシ_被害量","t","5540"
"1006","(全国農業地域)_関東・東山","1023","虫害_カメムシ_被害率_実数","%","0.4"
"1006","(全国農業地域)_関東・東山","1024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.3"
"1007","(全国農業地域)_東海","1001","気象被害_冷害_被害面積","ha","－"
"1007","(全国農業地域)_東海","1002","気象被害_冷害_被害量","t","－"
"1007","(全国農業地域)_東海","1003","気象被害_冷害_被害率_実数","%","－"
"1007","(全国農業地域)_東海","1004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1007","(全国農業地域)_東海","1005","気象被害_日照不足_被害面積","ha","53700"
"1007","(全国農業地域)_東海","1006","気象被害_日照不足_被害量","t","4470"
"1007","(全国農業地域)_東海","1007","気象被害_日照不足_被害率_実数","%","1.0"
"1007","(全国農業地域)_東海","1008","気象被害_日照不足_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.7"
"1007","(全国農業地域)_東海","1009","気象被害_高温障害_被害面積","ha","58600"
"1007","(全国農業地域)_東海","1010","気象被害_高温障害_被害量","t","6870"
"1007","(全国農業地域)_東海","1011","気象被害_高温障害_被害率_実数","%","1.6"
"1007","(全国農業地域)_東海","1012","気象被害_高温障害_被害率_対前年差","ﾎﾟｲﾝﾄ","1.2"
"1007","(全国農業地域)_東海","1013","病害_いもち病_被害面積","ha","17300"
"1007","(全国農業地域)_東海","1014","病害_いもち病_被害量","t","3000"
"1007","(全国農業地域)_東海","1015","病害_いもち病_被害率_実数","%","0.7"
"1007","(全国農業地域)_東海","1016","病害_いもち病_被害率_対前年差","ﾎﾟｲﾝﾄ","-0.2"
"1007","(全国農業地域)_東海","1017","虫害_ウンカ_被害面積","ha","3370"
"1007","(全国農業地域)_東海","1018","虫害_ウンカ_被害量","t","522"
"1007","(全国農業地域)_東海","1019","虫害_ウンカ_被害率_実数","%","0.1"
"1007","(全国農業地域)_東海","1020","虫害_ウンカ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.0"
"1007","(全国農業地域)_東海","1021","虫害_カメムシ_被害面積","ha","29000"
"1007","(全国農業地域)_東海","1022","虫害_カメムシ_被害量","t","5590"
"1007","(全国農業地域)_東海","1023","虫害_カメムシ_被害率_実数","%","1.3"
"1007","(全国農業地域)_東海","1024","虫害_カメムシ_被害率_対前年差","ﾎﾟｲﾝﾄ","0.9"
"1008","(全国農業地域)_近畿","1001","気象被害_冷害_被害面積","ha","－"
"1008","(全国農業地域)_近畿","1002","気象被害_冷害_被害量","t","－"
"1008","(全国農業地域)_近畿","1003","気象被害_冷害_被害率_実数","%","－"
"1008","(全国農業地域)_近畿","1004","気象被害_冷害_被害率_対前年差","ﾎﾟｲﾝﾄ","－"
