,日,4月_メス,4月_オス,5月_メス,5月_オス,6月_メス,6月_オス,7月_メス,7月_オス,8月_メス,8月_オス,9月_メス,9月_オス,10月_メス,10月_オス,11月_メス,11月_オス
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,168.0,231.0,0.0,1.0,0.0,0.0
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,27.0,11.0,626.0,803.0,0.0,0.0,0.0,0.0
2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,131.0,135.0,0.0,0.0,0.0,0.0
3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,167.0,256.0,0.0,0.0,0.0,0.0
4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,74.0,59.0,2.0,0.0,0.0,0.0
5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0
6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,183.0,287.0,6.0,8.0,0.0,0.0
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,163.0,223.0,0.0,1.0,0.0,0.0
8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,45.0,69.0,4.0,4.0,0.0,0.0
9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,25.0,15.0,106.0,122.0,3.0,3.0,0.0,0.0
10,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,46.0,43.0,25.0,31.0,0.0,1.0,0.0,0.0
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,101.0,138.0,18.0,14.0,0.0,0.0
12,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,147.0,90.0,127.0,118.0,7.0,7.0,0.0,0.0
13,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,41.0,11.0,23.0,11.0,5.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,10.0,24.0,38.0,30.0,20.0,0.0,0.0
15,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,64.0,19.0,36.0,7.0,1.0,0.0,0.0
16,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,7.0,3.0,0.0,0.0,0.0,0.0
17,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,25.0,8.0,11.0,0.0,0.0,0.0,0.0
18,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0
19,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0
20,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0
21,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,66.0,2.0,6.0,0.0,0.0,0.0,0.0
22,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0
23,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0
24,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0
25,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0
26,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
27,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
28,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
29,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31.0,,,0.0,0.0,,,0.0,0.0,36.0,37.0,,,0.0,0.0,,
