,日,4月_メス,4月_オス,5月_メス,5月_オス,6月_メス,6月_オス,7月_メス,7月_オス,8月_メス,8月_オス,9月_メス,9月_オス,10月_メス,10月_オス,11月_メス,11月_オス
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,4.0,96.0,115.0,0.0,0.0,0.0,0.0
1,2.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,10.0,46.0,19.0,17.0,5.0,0.0,0.0,0.0,0.0
2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,16.0,5.0,9.0,0.0,0.0,0.0,0.0
3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,9.0,30.0,20.0,0.0,0.0,0.0,0.0
4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,33.0,2.0,4.0,25.0,10.0,0.0,0.0,0.0,0.0
5,6.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,10.0,29.0,17.0,0.0,1.0,2.0,1.0,0.0,0.0
6,7.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,32.0,17.0,18.0,11.0,3.0,2.0,0.0,0.0
7,8.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,2.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0
8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,6.0,2.0,6.0,1.0,2.0,0.0,0.0
9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,56.0,29.0,31.0,18.0,2.0,0.0,0.0,0.0
10,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,56.0,45.0,14.0,15.0,3.0,0.0,0.0,0.0
11,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,22.0,51.0,27.0,1.0,1.0,0.0,0.0
12,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,265.0,154.0,24.0,15.0,23.0,9.0,0.0,0.0
13,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,231.0,119.0,11.0,23.0,1.0,1.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,20.0,3.0,7.0,2.0,3.0,1.0,0.0,0.0
15,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,47.0,7.0,15.0,0.0,1.0,0.0,0.0
16,17.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,45.0,39.0,7.0,4.0,0.0,0.0,0.0,0.0
17,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0
18,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0
19,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
20,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0
21,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0
22,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,3.0,15.0,2.0,0.0,0.0,0.0,0.0
23,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0
24,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
25,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29.0,0.0,0.0,0.0,0.0,3.0,0.0,32.0,15.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31.0,,,0.0,1.0,,,6.0,3.0,20.0,8.0,,,0.0,0.0,,
